Q2,Q4,Q5,Q6,Q7_1,Q7_2,Q7_3,Q8_1,Q8_2,Q8_3,Q8_4,Q9_1,Q9_2,Q9_3,Q9_4,Q10,Q11,Q12,Q13,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q17,Q19,Q21,Q22,Q23,sex,age,occupation/school,student/faculty
A good amount,From the news,To obtain significant help with a project,To obtain significant help with a project,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat,Somewhat,A little,1 to 5,Curiosity,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat likely,Somewhat unlikely,This is powerful technology and it will take time for us to learn about the costs and benefits. But its here and its not going away.,Male,46+,Professor/Faculty,Professor/Faculty
A great deal,From the news,To obtain significant help with a project,To aid in completion of a project,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Very much so,Somewhat,Not at all,0,I have not used ChatGPT,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither likely nor unlikely,Very unlikely,I have heard the costs and benefits but I need to explore it more for myself to truly understand it.  ,Female,42-45,Professor/Faculty,Professor/Faculty
A good amount,From the news,To obtain significant help with a project,Curiosity,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Very much so,Somewhat,Not at all,0,I have not used ChatGPT,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Very unlikely,Very unlikely,I don't know much about ChatGPT.  I have yet to use it.  I'm sure it will have great implications to academia and working life.,Male,38-41,Professor/Faculty,Professor/Faculty
A good amount,From the news,To obtain significant help with a project,To aid in completion of a project,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat,Not at all,Not at all,0,I have not used ChatGPT,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat likely,Very unlikely,"Human minds will weaken in their capacity as a result of using such technology. Critical thinking will evaporate. We already no longer need to learn how to spell or use grammar correctly, due to autocorrect/autofill. Eventually, I suspect we'll all be floating around, staring at screens, and essentially dim witted, like the people in WALL-E.",Male,46+,Professor/Faculty,Professor/Faculty
A great deal,From the news,To aid in completion of a project,Curiosity,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat,Very much so,Not at all,0,I have not used ChatGPT,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Somewhat unlikely,Very unlikely,"I think it is a fun idea and it has practical applications in school and work, but at the end of the day it cannot cite sources or quote content so it is not strong for making arguments. I think it will eventually become useful as a tool for helping people get started with writing, but we will need to start teaching people one how to use it effectively. ",Female,26-29,Professor/Faculty,Professor/Faculty
A good amount,From the news,To obtain significant help with a project,To get started with a project,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Very much so,Very much so,Not at all,0,I have not used ChatGPT,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat likely,Very unlikely,"I've already had a student use it (poorly) as a ""short cut"" for writing, though it led us to a good discussion and has encouraged her to do her own writing moving forward in the class.",Female,38-41,Professor/Faculty,Professor/Faculty
A great deal,From the news,To obtain significant help with a project,To get started with a project,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Very much so,Very much so,Not at all,0,I have not used ChatGPT,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat likely,Somewhat likely,Artificial intelligence is clearly the wave of the future and we as a society need to move quickly to learn how to properly understand its capabilities and how to use it productively.,Male,46+,Professor/Faculty,Professor/Faculty
A great deal,From the news,To obtain significant help with a project,Other; please specify,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Very much so,Not at all,Not at all,0,I have not used ChatGPT,,,,,,,,,,,,,,"I am concerned about students learning how to think critically, how to reseach and assess information quality .",Female,46+,Professor/Faculty,Professor/Faculty
A good amount,From the news,To aid in completion of a project,To aid in completion of a project,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat,Somewhat,Not at all,0,I have not used ChatGPT,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Very unlikely,Very unlikely,"While I believe programs like ChatGPT have legitimate uses in boilerplate applications, ChatGPT eliminates the need for critical thinking from students and professionals alike which is a detriment to society.",Male,22-25,Science,Student
A great deal,From the news,To aid in completion of a project,To obtain significant help with a project,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Very much so,Very much so,Not at all,0,I have not used ChatGPT,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very likely,Very likely,,Male,18-21,,
A good amount,From the news,To obtain significant help with a project,To aid in completion of a project,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Very much so,Somewhat,Not at all,0,I have not used ChatGPT,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Neither likely nor unlikely,Very unlikely,"I think ChatGPT has significant implications from a professional standpoint in terms of streamlining tasks that would otherwise be seen as menial or not necessarily worth human time. I do think from an education perspective that ChatGPT significantly undermines the goals of educators and provides an incentive to cheat on assignments. As person who is strong academically, I am inclined to distrust ChatGPT as it presents a real threat to my ability to stay ahead of other students and maintain my academic standing. I worry that increased chat or accessibility and improved technology will threaten my ability to keep up as a human mind without infinite access to information in a seconds notice. ",Male,18-21,Science,Student
Nothing at all,From this questionnaire,Curiosity,To aid in completion of a project,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Very much so,Very much so,Not at all,0,I have not used ChatGPT,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Very likely,,I think it will be very useful in the future to help someone learn or understand a topic better,Female,18-21,Management,Student
A great deal,Other,To obtain significant help with a project,Curiosity,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat,Somewhat,A little,1 to 5,Curiosity,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat likely,Somewhat unlikely,I feel that it is able to create a good well constructed response but I personally would not trust it to help with papers,Female,18-21,Science,Student
A great deal,From the news,To obtain significant help with a project,To get started with a project,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Very much so,Very much so,Quite a lot,11 or more times,To get started with a project,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither likely nor unlikely,Neither likely nor unlikely,Perfect for mundane writing tasks and for building initial frameworks for writing,Male,42-45,Professor/Faculty,Professor/Faculty
A great deal,From the news,To aid in completion of a project,To get started with a project,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Very much so,Somewhat,A little,6 to 10,Curiosity,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither likely nor unlikely,Somewhat unlikely,,Male,30-33,,
A great deal,From the news,To obtain significant help with a project,To aid in completion of a project,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Very much so,Somewhat,Not at all,0,I have not used ChatGPT,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat unlikely,Very unlikely,,Male,30-33,Professor/Faculty,Professor/Faculty
A good amount,From the news,To obtain significant help with a project,To aid in completion of a project,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Very much so,Very much so,A little,1 to 5,Curiosity,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat likely,Somewhat unlikely,It is scary.,Male,18-21,Science,Student
A great deal,From the news,To obtain significant help with a project,To obtain significant help with a project,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Very much so,Very much so,Quite a lot,11 or more times,Curiosity,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Very unlikely,Very unlikely,,Male,18-21,,
A little,Other,Other; please specify,Curiosity,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat,Somewhat,A good amount,6 to 10,To aid in completion of a project,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat likely,Somewhat likely,"I think it is an excellent tool for further understanding material but I do not agree that it should be while heartedly trusted or relied on much like other sources on the internet. I think it’s a great tool but a tool is all it should be used for, an aid.",Female,18-21,,
A good amount,From the news,To obtain significant help with a project,Curiosity,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Very much so,Somewhat,Not at all,0,I have not used ChatGPT,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither likely nor unlikely,Somewhat unlikely,"I think it is dangerous for students to have access to an AI like this, as it could impair learning. I am concerned with where this could take us in the future.",Female,18-21,Science,Student
A good amount,From the news,To obtain significant help with a project,Other; please specify,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Very much so,Somewhat,A little,6 to 10,Curiosity,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat likely,Somewhat unlikely,It's a tool like others that can be useful but also has great potential for abuse. It's not going away...,Male,42-45,Professor/Faculty,Professor/Faculty
A good amount,From the news,To obtain significant help with a project,To get started with a project,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Very much so,Very much so,Not at all,0,I have not used ChatGPT,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Very likely,Very likely,,Female,22-25,Professor/Faculty,Professor/Faculty
A great deal,From the news,To aid in completion of a project,Curiosity,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Very much so,Not at all,Not at all,1 to 5,Curiosity,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat likely,Somewhat unlikely,I think it's dangerous and a detriment to the education of the population.,Female,46+,Professor/Faculty,Professor/Faculty
A great deal,From a friend,To aid in completion of a project,To aid in completion of a project,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Very much so,Very much so,A little,1 to 5,Curiosity,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Very likely,Very likely,Good to get started on initial research. Great for explaining concepts through not only definitions but through examples. This could definitely aid students to learn at home since they have essentially a teacher who can respond to very specific questions with specific examples to explain concepts. This can be very powerful in education.,Male,22-25,CS & Math,Student
A good amount,From the news,To obtain significant help with a project,To get started with a project,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Very much so,Somewhat,Not at all,0,I have not used ChatGPT,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Very unlikely,Very unlikely,,Female,38-41,Liberal Arts,Student
Nothing at all,None,To aid in completion of a project,To aid in completion of a project,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat,Somewhat,Not at all,0,I have not used ChatGPT,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat likely,Neither likely nor unlikely,"Leaves the door open to mis information, like wikipedia",Female,46+,Professor/Faculty,Professor/Faculty
Nothing at all,From this questionnaire,Other; please specify,Other; please specify,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Very much so,Not at all,Not at all,0,I have not used ChatGPT,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Very unlikely,Very unlikely,How can a user trust that the info provided via ChatGPT is accurate?,Female,46+,Professor/Faculty,Professor/Faculty
A great deal,From the news,To obtain significant help with a project,To get started with a project,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Very much so,Somewhat,Not at all,0,I have not used ChatGPT,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat likely,Very unlikely,ChatGPT will change our world. It's implications will be vast. While we will most likely benefit from ChatGPT we must remain cautious and weary of the negative impacts it could deliver. ,Female,26-29,Communications & Arts,Student
A good amount,From the news,To aid in completion of a project,To get started with a project,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Very much so,Very much so,A good amount,11 or more times,To get started with a project,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,,,,It can be a very useful tool,Female,38-41,,
A great deal,From the news,To aid in completion of a project,To aid in completion of a project,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Very much so,Very much so,A good amount,11 or more times,To aid in completion of a project,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither likely nor unlikely,Somewhat likely,"ChatGPT is only the first iteration of the AI revolution that is set to reimagine human work and productivity. Each version of it gets smarter and faster, and competitors like Google and Apple will not be far behind. Get ready for the biggest tech disruption since the smart phone!",Male,22-25,Professor/Faculty,Professor/Faculty
A great deal,From the news,Other; please specify,Other; please specify,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat,Somewhat,Not at all,0,I have not used ChatGPT,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither likely nor unlikely,Very unlikely,This is another new technology that will be part of our lives.  We need to educate students on its usefulness and how to avoid using it to complete work they should complete on their own through independent research.,Female,46+,Professor/Faculty,Professor/Faculty
A little,From a family member,To obtain significant help with a project,Curiosity,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Very much so,Somewhat,Not at all,0,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither likely nor unlikely,Somewhat unlikely,,Prefer not to say,22-25,,
A little,From the news,To obtain significant help with a project,Curiosity,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat,Somewhat,Not at all,0,I have not used ChatGPT,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat unlikely,Very unlikely,"If used correctly, it could be helpful but I have concerns about it being used in an academic setting and having issues with plagiarism and a lack of critical thinking.",Female,22-25,Professor/Faculty,Professor/Faculty
Nothing at all,None,To obtain significant help with a project,To obtain significant help with a project,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very much so,Somewhat,Not at all,0,I have not used ChatGPT,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat likely,Very likely,convenient information provider,Female,46+,Professor/Faculty,Professor/Faculty
A great deal,From the news,Other; please specify,Other; please specify,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Very much so,Somewhat,A good amount,11 or more times,Curiosity,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Neither likely nor unlikely,Very unlikely,"I fear that this will inhibit critical thinking in people, especially students. Students are stressed, busy, overworked, and always looking for shortcuts. ChatGPT handed them a pretty good one and the temptation is clear. I think it can be good for outlining and brainstorming (especially for things like titles or research questions), but I fear it will change writing forever. ",Female,30-33,Professor/Faculty,Professor/Faculty
A good amount,From a family member,Curiosity,Curiosity,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat,Somewhat,A little,1 to 5,Curiosity,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither likely nor unlikely,Somewhat unlikely,ChatGPT is very interesting and has very interesting implications for the future of society as a whole. I believe that it could advance much further but I also believe that it could just sizzle out. Only time will tell. ,Male,22-25,Professor/Faculty,Professor/Faculty
A little,From this questionnaire,To aid in completion of a project,To obtain significant help with a project,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat,Somewhat,Not at all,0,I have not used ChatGPT,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Neither likely nor unlikely,Neither likely nor unlikely,I feel as though it’s an easy way for students to get away with not doing their own work and completing assignments using their own knowledge and understanding ,Female,18-21,Liberal Arts,Student
A little,From a colleague,To obtain significant help with a project,To obtain significant help with a project,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Very much so,Somewhat,Not at all,0,I have not used ChatGPT,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither likely nor unlikely,Very unlikely,"Can be useful when used appropriately, but will definitely be misused. Scary, won't ever trust a student essay again.",Female,42-45,Professor/Faculty,Professor/Faculty
Nothing at all,From this questionnaire,Curiosity,To aid in completion of a project,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat,Not at all,Not at all,0,I have not used ChatGPT,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Neither likely nor unlikely,Neither likely nor unlikely,,Female,46+,Professor/Faculty,Professor/Faculty
Nothing at all,None,To obtain significant help with a project,To aid in completion of a project,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Very much so,Somewhat,Not at all,0,I have not used ChatGPT,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither likely nor unlikely,Somewhat unlikely,"It can be dangerous as there is no primary source citing. People are likely to take the information generated and rely on it instead of doing actual research and making discoveries on their own. It can be helpful for mundane tasks, but this can also be automated by using pre-existing Microsoft products such as PowerAutomate and other helpful tools. ",Female,38-41,Professor/Faculty,Professor/Faculty
A little,From a friend,To get started with a project,Curiosity,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat,Somewhat,A little,1 to 5,Curiosity,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat likely,Neither likely nor unlikely,I think it’s a cool program but not the most trustworthy source. I’ve only used it out of curiosity and to get an idea started if I cannot possibly think of anything and I’m on a time crunch but it does not feel right getting answers from it. I prefer doing the work on my own ,Female,18-21,Social & Behavioral Sciences,Student
A little,From the news,To aid in completion of a project,To get started with a project,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat,Not at all,Not at all,0,I have not used ChatGPT,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Very unlikely,Very unlikely,"The less AI (like ChatGPT) in our society, the better",Female,18-21,Social & Behavioral Sciences,Student
